Timestamp,prec,prec_normal
2018-01-16 00:00:00,128.39999999999995,60.4
2018-02-14 12:00:00,13.7,48.41428571428571
2018-03-16 00:00:00,41.70000000000001,53.444827586206884
2018-04-15 12:00:00,30.499999999999996,47.26896551724137
2018-05-16 00:00:00,108.9,65.92413793103448
2018-06-15 12:00:00,81.5,67.13793103448276
2018-07-16 00:00:00,41.599999999999994,60.52142857142855
2018-08-16 00:00:00,40.7,57.65357142857143
2018-09-15 12:00:00,27.0,52.59655172413793
2018-10-16 00:00:00,11.1,65.41379310344827
2018-11-15 12:00:00,30.3,55.106896551724134
2018-12-16 00:00:00,111.5,80.86896551724139
